[rosmaster.master][INFO] 2016-06-23 15:28:09,721: publisherUpdate[/ipa_pars/knowledge_parser_server/cancel] -> http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:09,724: publisherUpdate[/ipa_pars/knowledge_parser_server/goal] -> http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:11,332: -SUB [/ipa_pars/knowledge_parser_server/cancel] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:11,332: -SUB [/ipa_pars/knowledge_parser_server/goal] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:11,332: -PUB [/ipa_pars/knowledge_parser_server/result] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:11,332: -PUB [/rosout] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:11,332: -PUB [/ipa_pars/knowledge_parser_server/status] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:11,333: -PUB [/ipa_pars/knowledge_parser_server/feedback] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:11,333: -SERVICE [/ipa_pars/knowledge_parser_server_spawner/set_logger_level] /ipa_pars/knowledge_parser_server_spawner rosrpc://cmeintel-desktop:37772
[rosmaster.master][INFO] 2016-06-23 15:28:11,333: -SERVICE [/ipa_pars/knowledge_parser_server_spawner/get_loggers] /ipa_pars/knowledge_parser_server_spawner rosrpc://cmeintel-desktop:37772
[rosmaster.master][INFO] 2016-06-23 15:28:11,425: publisherUpdate[/rosout] -> http://cmeintel-desktop:36646/
[rosmaster.master][INFO] 2016-06-23 15:28:11,627: -PUB [/rosout_agg] /rosout http://cmeintel-desktop:36646/
[rosmaster.master][INFO] 2016-06-23 15:28:11,628: -SUB [/rosout] /rosout http://cmeintel-desktop:36646/
[rosmaster.master][INFO] 2016-06-23 15:28:11,628: -SERVICE [/rosout/get_loggers] /rosout rosrpc://cmeintel-desktop:35595
[rosmaster.master][INFO] 2016-06-23 15:28:11,629: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://cmeintel-desktop:35595
[rosmaster.main][INFO] 2016-06-23 15:28:11,732: keyboard interrupt, will exit
[rosmaster.main][INFO] 2016-06-23 15:28:11,732: stopping master...
[rospy.core][INFO] 2016-06-23 15:28:11,732: signal_shutdown [atexit]
