[rosmaster.master][INFO] 2016-06-23 17:13:07,587: publisherUpdate[/rosout] -> http://cmeintel-desktop:41359/
[rosmaster.master][INFO] 2016-06-23 17:13:07,588: publisherUpdate[/ipa_pars/knowledge_parser_server/cancel] -> http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:07,591: publisherUpdate[/ipa_pars/knowledge_parser_server/goal] -> http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:11,950: -SUB [/ipa_pars/knowledge_parser_server/cancel] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:11,950: -SUB [/ipa_pars/knowledge_parser_server/goal] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:11,951: -PUB [/ipa_pars/knowledge_parser_server/result] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:11,951: -PUB [/rosout] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:11,951: -PUB [/ipa_pars/knowledge_parser_server/status] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:11,951: -PUB [/ipa_pars/knowledge_parser_server/feedback] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:11,951: -SERVICE [/ipa_pars/knowledge_parser_server_spawner/set_logger_level] /ipa_pars/knowledge_parser_server_spawner rosrpc://cmeintel-desktop:32973
[rosmaster.master][INFO] 2016-06-23 17:13:11,952: -SERVICE [/ipa_pars/knowledge_parser_server_spawner/get_loggers] /ipa_pars/knowledge_parser_server_spawner rosrpc://cmeintel-desktop:32973
[rosmaster.master][INFO] 2016-06-23 17:13:11,995: publisherUpdate[/rosout] -> http://cmeintel-desktop:41359/
[rosmaster.master][INFO] 2016-06-23 17:13:12,296: -PUB [/rosout_agg] /rosout http://cmeintel-desktop:41359/
[rosmaster.master][INFO] 2016-06-23 17:13:12,297: -SUB [/rosout] /rosout http://cmeintel-desktop:41359/
[rosmaster.master][INFO] 2016-06-23 17:13:12,298: -SERVICE [/rosout/get_loggers] /rosout rosrpc://cmeintel-desktop:49553
[rosmaster.master][INFO] 2016-06-23 17:13:12,299: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://cmeintel-desktop:49553
[rosmaster.main][INFO] 2016-06-23 17:13:12,350: keyboard interrupt, will exit
[rosmaster.main][INFO] 2016-06-23 17:13:12,350: stopping master...
[rospy.core][INFO] 2016-06-23 17:13:12,351: signal_shutdown [atexit]
