[rosmaster.master][INFO] 2016-06-09 15:29:58,242: publisherUpdate[/rosout] -> http://cmeintel-desktop:33492/
[rosmaster.master][INFO] 2016-06-09 15:29:58,251: +PUB [/rosout] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,252: +SERVICE [/gazebo/get_loggers] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,252: +SERVICE [/gazebo/set_logger_level] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,255: +SUB [/clock] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,342: publisherUpdate[/rosout] -> http://cmeintel-desktop:33492/
[rosmaster.master][INFO] 2016-06-09 15:29:58,810: +PUB [/clock] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,811: +SERVICE [/gazebo/spawn_gazebo_model] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,812: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,813: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,813: +SERVICE [/gazebo/delete_model] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,813: +SERVICE [/gazebo/get_model_properties] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,814: +SERVICE [/gazebo/get_model_state] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,815: +SERVICE [/gazebo/get_world_properties] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,816: +SERVICE [/gazebo/get_joint_properties] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,817: +SERVICE [/gazebo/get_link_properties] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,818: +SERVICE [/gazebo/get_link_state] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,819: +SERVICE [/gazebo/get_physics_properties] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,820: +PUB [/gazebo/link_states] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,821: +PUB [/gazebo/model_states] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,822: +SERVICE [/gazebo/set_link_properties] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,823: +SERVICE [/gazebo/set_physics_properties] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,824: +SERVICE [/gazebo/set_model_state] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,825: +SERVICE [/gazebo/set_model_configuration] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,825: +SERVICE [/gazebo/set_joint_properties] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,826: +SERVICE [/gazebo/set_link_state] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,829: +SUB [/gazebo/set_link_state] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,832: +SUB [/gazebo/set_model_state] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,833: +SERVICE [/gazebo/pause_physics] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,833: +SERVICE [/gazebo/unpause_physics] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,834: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,835: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,835: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,836: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,837: +SERVICE [/gazebo/reset_simulation] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,837: +SERVICE [/gazebo/reset_world] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,838: +PARAM [/use_sim_time] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,843: publisherUpdate[/clock] -> http://cmeintel-desktop:33492/
[rosmaster.master][INFO] 2016-06-09 15:29:58,844: publisherUpdate[/clock] -> http://cmeintel-desktop:37326/
[rosmaster.master][INFO] 2016-06-09 15:29:58,844: publisherUpdate[/clock] -> http://cmeintel-desktop:41374/
[rosmaster.master][INFO] 2016-06-09 15:29:58,845: publisherUpdate[/clock] -> http://cmeintel-desktop:39126/
[rosmaster.master][INFO] 2016-06-09 15:29:58,845: publisherUpdate[/clock] -> http://cmeintel-desktop:44400/
[rosmaster.master][INFO] 2016-06-09 15:29:58,846: publisherUpdate[/clock] -> http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,864: +SERVICE [/gazebo/set_parameters] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,865: +PUB [/gazebo/parameter_descriptions] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,865: +PUB [/gazebo/parameter_updates] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:58,873: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,874: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,874: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,875: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,876: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,876: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,877: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,877: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,878: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,879: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,879: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,880: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,881: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,881: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,882: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,884: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,884: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,885: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,885: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,886: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,886: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,887: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,888: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,888: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,889: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,889: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,890: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,890: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,891: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:58,891: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:29:59,599: +PUB [/elevator_button1_bumper] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:59,601: +PUB [/elevator_button2_bumper] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:59,621: -SUB [/clock] /spawn_urdf_world http://cmeintel-desktop:39126/
[rosmaster.master][INFO] 2016-06-09 15:29:59,621: -PUB [/rosout] /spawn_urdf_world http://cmeintel-desktop:39126/
[rosmaster.master][INFO] 2016-06-09 15:29:59,622: -SERVICE [/spawn_urdf_world/set_logger_level] /spawn_urdf_world rosrpc://cmeintel-desktop:40906
[rosmaster.master][INFO] 2016-06-09 15:29:59,622: -SERVICE [/spawn_urdf_world/get_loggers] /spawn_urdf_world rosrpc://cmeintel-desktop:40906
[rosmaster.master][INFO] 2016-06-09 15:29:59,648: publisherUpdate[/elevator_button1_bumper] -> http://cmeintel-desktop:41374/
[rosmaster.master][INFO] 2016-06-09 15:29:59,648: publisherUpdate[/rosout] -> http://cmeintel-desktop:33492/
[rosmaster.master][INFO] 2016-06-09 15:29:59,890: +SERVICE [/world/controller_manager/list_controllers] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:59,890: +SERVICE [/world/controller_manager/list_controller_types] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:59,891: +SERVICE [/world/controller_manager/load_controller] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:59,892: +SERVICE [/world/controller_manager/unload_controller] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:59,892: +SERVICE [/world/controller_manager/switch_controller] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:29:59,893: +SERVICE [/world/controller_manager/reload_controller_libraries] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:30:00,049: +PUB [/world/joint_states] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:30:00,149: publisherUpdate[/world/joint_states] -> http://cmeintel-desktop:37326/
[rosmaster.master][INFO] 2016-06-09 15:30:00,193: +SUB [/world/elevator_left_joint_position_controller/command] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:30:00,207: +SUB [/world/elevator_right_joint_position_controller/command] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:30:00,214: +SUB [/world/elevator_button1_joint_position_controller/command] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:30:00,219: +SUB [/world/elevator_button2_joint_position_controller/command] /gazebo http://cmeintel-desktop:35777/
[rosmaster.master][INFO] 2016-06-09 15:30:09,393: +PUB [/rosout] /spawn_model http://cmeintel-desktop:35239/
[rosmaster.master][INFO] 2016-06-09 15:30:09,397: +SUB [/clock] /spawn_model http://cmeintel-desktop:35239/
[rosmaster.master][INFO] 2016-06-09 15:30:09,398: +SERVICE [/spawn_model/get_loggers] /spawn_model http://cmeintel-desktop:35239/
