[rosmaster.master][INFO] 2016-06-09 15:34:02,736: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:02,773: +PUB [/rosout] /spawn_urdf_world http://cmeintel-desktop:38615/
[rosmaster.master][INFO] 2016-06-09 15:34:02,775: +SUB [/clock] /spawn_urdf_world http://cmeintel-desktop:38615/
[rosmaster.master][INFO] 2016-06-09 15:34:02,776: +SERVICE [/spawn_urdf_world/get_loggers] /spawn_urdf_world http://cmeintel-desktop:38615/
[rosmaster.master][INFO] 2016-06-09 15:34:02,777: +SERVICE [/spawn_urdf_world/set_logger_level] /spawn_urdf_world http://cmeintel-desktop:38615/
[rosmaster.master][INFO] 2016-06-09 15:34:02,836: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:03,256: +PUB [/clock] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,257: +SERVICE [/gazebo/spawn_gazebo_model] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,258: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,258: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,259: +SERVICE [/gazebo/delete_model] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,259: +SERVICE [/gazebo/get_model_properties] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,260: +SERVICE [/gazebo/get_model_state] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,260: +SERVICE [/gazebo/get_world_properties] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,261: +SERVICE [/gazebo/get_joint_properties] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,261: +SERVICE [/gazebo/get_link_properties] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,262: +SERVICE [/gazebo/get_link_state] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,262: +SERVICE [/gazebo/get_physics_properties] /gazebo http://cmeintel-desktop:40256/
